image_id,base_image_id,noisy_psnr,denoised_psnr,psnr_improvement,psnr_improvement_percent,noisy_ssim,denoised_ssim,ssim_improvement,ssim_improvement_percent,noisy_mse,denoised_mse,mse_improvement,mse_reduction_percent
00006279_000_aug2.png,00006279_000,5.3230704003896765,17.363369645774128,12.040299245384452,226.1908699254295,0.06586845353728027,0.2906002971284865,0.22473184359120624,341.18281441663476,0.29355735,0.01835114,0.2752062,93.74870657920837
00005537_009_aug1.png,00005537_009,5.956571371239773,18.225361393962366,12.268790022722593,205.97067101319772,0.08740455662688898,0.37425566345338146,0.2868511068264925,328.187817542508,0.25371307,0.015047483,0.23866558,94.06909346580505
00005847_004_aug2.png,00005847_004,6.274360996457156,18.523924513203436,12.249563516746282,195.232048708435,0.0664588495980623,0.3324498983671419,0.2659910487690796,400.23420564420206,0.23581092,0.014047775,0.22176315,94.0427839756012
00004278_000_aug3.png,00004278_000,4.359250435618084,19.66448866712931,15.305238231511225,351.09793432505893,0.05130973799260497,0.28621639861948817,0.2349066606268832,457.82081495083673,0.36650082,0.010803168,0.35569766,97.0523476600647
00004273_000_aug3.png,00004273_000,3.690517631086643,19.96471129897276,16.274193667886117,440.9731992824625,0.07780768517581904,0.4191084593798497,0.34130077420403065,438.6466111063533,0.42751193,0.010081586,0.41743034,97.64180183410645
00004372_000_aug3.png,00004372_000,4.5163328581205935,18.818055799332573,14.30172294121198,316.6667159063965,0.06133173817171707,0.3086684036313392,0.24733666545962213,403.2767908307556,0.35348153,0.013127875,0.34035367,96.28612399101257
00006304_033_aug4.png,00006304_033,6.880522357258668,18.848180265442917,11.967657908184249,173.93531023932889,0.12419301339390258,0.2851358382337197,0.1609428248398171,129.59088473790007,0.20509155,0.013037129,0.19205442,93.64326596260071
00004858_017_aug4.png,00004858_017,8.322772055817326,19.500666154138926,11.1778940983216,134.30494099028752,0.08983193488453532,0.31885185044802006,0.22901991556348472,254.94265024776928,0.14713731,0.011218464,0.13591886,92.37551689147949
00006425_019_aug2.png,00006425_019,6.668851435658029,18.54522147712458,11.876370041466553,178.08718871684817,0.07567866165011596,0.3287983718426267,0.2531197101925108,334.4664198248582,0.21533512,0.013979056,0.20135605,93.50823163986206
00005798_010_aug0.png,00005798_010,7.3103651121710325,19.85860563330611,12.548240521135076,171.64998366830545,0.09191666228873878,0.361643502088368,0.2697268397996292,293.4471651639541,0.18576482,0.01033093,0.17543389,94.43870186805725
00004674_001_aug4.png,00004674_001,5.064422312359293,18.650779336463156,13.586357024103863,268.2706177750523,0.07927861500174148,0.3050815531936693,0.22580293819192782,284.82200173018623,0.31157154,0.013643383,0.29792815,95.62110900878906
00005913_004_aug0.png,00005913_004,7.298403226076644,17.48925780713455,10.190854581057906,139.63129009708248,0.09318358328941335,0.2952924727051605,0.20210888941574717,216.89323621310973,0.1862772,0.017826835,0.16845036,90.42993783950806
00005135_001_aug4.png,00005135_001,7.8429291030153925,15.840318613707666,7.997389510692273,101.96942246510292,0.07236076623636244,0.1809757250871451,0.10861495885078266,150.1020020932309,0.16432631,0.026059624,0.13826668,84.14153456687927
00006210_003_aug1.png,00006210_003,6.907361542696431,19.099222669105064,12.191861126408632,176.50532770070245,0.07583546387752754,0.35114747093064386,0.2753120070531163,363.0386009080641,0.203828,0.012304889,0.19152312,93.96310448646545
00004928_007_aug0.png,00004928_007,6.832876810710507,17.775271281975506,10.942394471264999,160.14330090237888,0.09132912240877837,0.2872069319001461,0.19587780949136774,214.47464327385276,0.20735395,0.016690634,0.19066331,91.95064902305603
00005992_003_aug3.png,00005992_003,4.161846075833996,17.93790676374622,13.776060687912224,331.0084139801261,0.04733755678000061,0.3950230826331925,0.3476855258531919,734.4813494896798,0.38354418,0.01607716,0.36746702,95.80826163291931
00004959_007_aug0.png,00004959_007,7.004089613589062,14.13375510843699,7.129665494847928,101.79289369763671,0.036270985793591365,0.08080698763194794,0.04453600183835657,122.78685253221194,0.19933844,0.038603306,0.16073513,80.63428997993469
00006355_005_aug2.png,00006355_005,5.200730144873313,17.08219721058092,11.881467065707605,228.45767295616972,0.07032306210059786,0.2841104412567455,0.21378737915614765,304.00749451200323,0.3019444,0.019578539,0.28236586,93.51584315299988
00005213_000_aug0.png,00005213_000,7.292652130686129,16.107635469411537,8.814983338725408,120.87486391450912,0.06913609405320648,0.16092139382979523,0.09178529977658875,132.7603201100017,0.18652403,0.024503969,0.16202006,86.86283230781555
00005962_026_aug0.png,00005962_026,7.247857285808285,19.98760598871991,12.739748702911625,175.7726207972772,0.0867551119020277,0.3416230342273498,0.25486792232532207,293.7785644414172,0.18845786,0.010028579,0.17842928,94.67860460281372
00005498_000_aug4.png,00005498_000,5.277825581852777,17.0860698166494,11.808244234796621,223.73312743410793,0.06812796623049336,0.30485666073441886,0.2367286945039255,347.47653218212207,0.29663163,0.01956109,0.27707055,93.40559840202332
00005206_000_aug3.png,00005206_000,5.547413924009394,15.83195224344432,10.284538319434926,185.39338258,0.052409393116314845,0.17722990116280526,0.12482050804649042,238.16438356664403,0.27877808,0.026109874,0.2526682,90.63417315483093
00006296_025_aug0.png,00006296_025,7.064252499516119,18.93555833200289,11.871305832486772,168.04758653940982,0.10724857588572814,0.3242522613241569,0.21700368543842877,202.33712536159283,0.19659603,0.01277745,0.18381858,93.50065588951111
00004668_002_aug1.png,00004668_002,6.375513707098721,20.127603395625158,13.752089688526437,215.7016723721318,0.08327200487228256,0.36629697114388465,0.2830249662716021,339.8800914012918,0.23038207,0.009710457,0.22067161,95.78506350517273
